"case","rho","prior","proposal_type","mh_step_b","sse_total","sse_signal","phi_mean","phi_median","phi_q90","phi_q99","phi_gt_10","phi_gt_100","a_mean","a_median","a_q90","b_mean","b_median","b_q90","accept_a","accept_b","accept_phi"
"mixed_p200_k40",0.4,"normal_gamma_center","bi_adaptive",0.1,258.420408230739,197.436285431874,13.5849622736974,11.45681890038,23.9934409696132,48.4690022074765,0.53875,0,0.89133201943653,0.845616709295388,1.32211037909248,5.35253046349486,5.2597054142788,8.02516723972528,0.35,0.735,0.35
"mixed_p200_k40",0.4,"normal_gamma_center","bi_adaptive",0.2,266.462045797594,231.358719619985,6.51850144176719,3.71278079501147,14.4067130010067,44.0200635670071,0.174375,0.0025,1.13326547826348,1.11514294186294,1.73851498103207,3.70444006720328,2.90907900656045,6.64852349534824,0.395625,0.5840625,0.395625
"mixed_p200_k40",0.4,"normal_gamma_center","bi_adaptive",0.3,284.648796104409,265.636406527599,7.1084535564889,0.846998816681608,21.1539728448673,45.0839302763781,0.191875,0,0.501650740198513,0.480827193815888,0.691831117284072,5.35664166427008,5.63669795516323,8.21485883707165,0.348125,0.4509375,0.348125
