"case","n","p","k","rho","seed","prior","proposal_type","mh_step_b","true_sigmaSq","sse_total","sse_signal","phi_mean","phi_median","phi_q90","phi_q99","phi_gt_10","phi_gt_100","a_mean","a_median","a_q90","b_mean","b_median","b_q90","accept_a","accept_b","accept_phi"
"sparse_p200_k10",50,200,10,0.8,1,"hs_center","adaptive",0.1,5.32114493498139,18.4723710784165,15.245590126796,0.340233514222212,0.0639280465081366,0.815549854587768,5.30661811228295,0,0,0.717212228177039,0.711166073356844,0.88975586110567,1.58071875325732,1.31691243242808,2.938223692763,0.5785,0.5785,0.5785
"sparse_p200_k10",50,200,10,0.8,2,"hs_center","adaptive",0.1,25.8233735824169,122.472836810108,69.6414564680486,0.795247803414564,0.496119742250015,1.914298143851,3.4300225390411,0,0,0.33112940609656,0.324965256200372,0.428834923110708,1.02573222239075,0.913708899864097,1.57752794397448,0.495,0.495,0.495
"sparse_p200_k10",50,200,10,0.8,1,"hs_center","bi_adaptive",0.2,5.32114493498139,17.3563616921197,14.0233199482756,0.237435958616196,0.131098586238714,0.595856751544574,1.01958220773762,0,0,0.402207797244421,0.409034377943301,0.546387433975854,1.33079918229348,1.1581069552623,2.15170223760147,0.4065,0.5345,0.4065
"sparse_p200_k10",50,200,10,0.8,2,"hs_center","bi_adaptive",0.2,25.8233735824169,112.014181112903,66.1930660041678,0.715022670224682,0.435030147074356,1.73540418448737,4.81431687427638,0.001,0,0.431571605365124,0.419221955960991,0.65159444048448,1.02261851749887,0.936214878084238,1.54892238251669,0.4475,0.5605,0.4475
"sparse_p200_k10",50,200,10,0.8,1,"normal_gamma_center","adaptive",0.1,5.32114493498139,18.4674229513706,15.2633364908378,1.15670532532778,0.546927861182558,2.42921265694215,12.7125979720971,0.012,0,0.493919702081366,0.49150993673978,0.561047035063328,2.95354236463507,2.73053662629182,5.18766171852708,0.538,0.538,0.538
"sparse_p200_k10",50,200,10,0.8,2,"normal_gamma_center","adaptive",0.1,25.8233735824169,129.056979503484,78.2012014971725,8.72177962083035,2.94059409293727,23.4293163942741,87.3109003369237,0.242,0.008,0.209106001541436,0.205939031901817,0.243346948630075,2.0624461066286,1.54642031849677,4.09276136101294,0.5895,0.5895,0.5895
"sparse_p200_k10",50,200,10,0.8,1,"normal_gamma_center","bi_adaptive",0.2,5.32114493498139,18.1331124626102,14.7994257291587,1.17226321433569,0.619510044615399,1.96979966232484,18.0436796264403,0.02,0,0.489631663038151,0.479431985175583,0.620143301270099,3.43526366658298,3.02597274163903,5.65873200802349,0.3675,0.5975,0.3675
"sparse_p200_k10",50,200,10,0.8,2,"normal_gamma_center","bi_adaptive",0.2,25.8233735824169,107.956557708063,70.383076892323,1.67507862554282,1.02475504124203,3.83268765478502,13.4134392399493,0.027,0,0.330861749196658,0.334834159933326,0.382355280823927,1.67493247794702,1.57021012833927,2.63480880318611,0.3875,0.5865,0.3875
"sparse_p200_k10",50,200,10,0.8,1,"ridge_center","adaptive",0.1,5.32114493498139,20.1945858581053,16.6868845755179,8.41257876435198,0.227230473801868,4.32031975804531,170.609961627624,0.083,0.04,1.00713790592653,1.01980348670218,1.09453966122705,5.1150488772061,2.65779303104797,8.91103544970936,0.5205,0.5205,0.5205
"sparse_p200_k10",50,200,10,0.8,2,"ridge_center","adaptive",0.1,25.8233735824169,108.911325167181,76.3359151926013,6.78848937698554,1.10282490156295,12.3497206720873,121.358573032677,0.114,0.018,1.3084342044544,1.18125123536632,1.92419388805859,7.01331660475005,3.27835674797204,13.9140150123734,0.4635,0.4635,0.4635
"sparse_p200_k10",50,200,10,0.8,1,"ridge_center","bi_adaptive",0.2,5.32114493498139,25.7832901802678,21.8692897006613,0.64165735180342,0.361658100263634,1.59102335206676,3.2205856995578,0,0,5.24802009665653,4.13087955750147,10.674576492593,12.6776311933509,11.6040907332516,22.5895637455676,0.4485,0.537,0.4485
"sparse_p200_k10",50,200,10,0.8,2,"ridge_center","bi_adaptive",0.2,25.8233735824169,100.284635345822,74.3252777974938,1.89109032068529,0.735685847082834,3.47125307824424,21.2641836272936,0.028,0,12.0939864175903,11.2386279516213,21.6265104586507,11.7947262034726,11.6030371415089,16.6177877624697,0.4895,0.5195,0.4895
"sparse_p200_k10",50,200,10,0.4,1,"hs_center","adaptive",0.1,10.9397143212009,13.631429169772,9.92706505683978,0.417104266752568,0.285411216866462,0.879646688732646,1.85499711683222,0,0,0.406966335762992,0.293814895407907,0.782912598178358,1.52314356811711,1.38228084433201,2.41852809766667,0.5455,0.5455,0.5455
"sparse_p200_k10",50,200,10,0.4,2,"hs_center","adaptive",0.1,26.0072958059238,71.2477140734064,55.1805710846951,1.22712919489767,0.520611436940924,3.4938467991254,10.5392635666401,0.015,0,0.359825375459508,0.365277434075018,0.444427773080799,1.71574265678266,1.68162465336361,3.12770642687467,0.533,0.533,0.533
"sparse_p200_k10",50,200,10,0.4,1,"hs_center","bi_adaptive",0.2,10.9397143212009,11.9504709866405,8.7683592474424,0.37466176856499,0.293799422467436,0.818277964488893,1.9860382106723,0,0,0.367435822179663,0.357020233932672,0.441196895281233,1.32386973668474,1.22505301186308,1.92790280653854,0.4395,0.5535,0.4395
"sparse_p200_k10",50,200,10,0.4,2,"hs_center","bi_adaptive",0.2,26.0072958059238,71.2078658484688,54.2576495275766,1.01351879792329,0.730600795137045,2.02299772645677,3.80110000705312,0,0,0.436388047343161,0.408868820333798,0.594472604872834,1.49114666753243,1.38722157818082,2.1449743151926,0.403,0.559,0.403
"sparse_p200_k10",50,200,10,0.4,1,"normal_gamma_center","adaptive",0.1,10.9397143212009,22.2504894835962,16.4204075738042,7.16561789877299,0.812172905595337,30.1567289945187,58.3206778551729,0.207,0,1.31232443074719,1.28028517573786,1.9552838679781,16.4164220876862,4.73354508027497,50.5873259179504,0.508,0.508,0.508
"sparse_p200_k10",50,200,10,0.4,2,"normal_gamma_center","adaptive",0.1,26.0072958059238,83.3522443567925,62.8846262082746,21.6202982420172,2.50579973334872,67.7515252527697,435.947956384712,0.256,0.035,0.456978245514505,0.459112181561931,0.499372821023912,4.8255737754938,3.14090593323492,13.2155697664473,0.509,0.509,0.509
"sparse_p200_k10",50,200,10,0.4,1,"normal_gamma_center","bi_adaptive",0.2,10.9397143212009,21.1582502676488,16.8059173842157,2.47278947633822,1.2795643089275,4.87163827203031,30.2021933713785,0.035,0,1.03536116423614,1.00940465117846,1.33816557599913,9.76635309506051,9.48307566162588,16.499178927401,0.3655,0.5865,0.3655
"sparse_p200_k10",50,200,10,0.4,2,"normal_gamma_center","bi_adaptive",0.2,26.0072958059238,98.4028859938952,96.1769735460857,2.03731765101898,0.144840790940945,6.32581448860253,23.8307915964414,0.057,0,0.641658224713658,0.60449878649922,0.868642688378873,7.86339677987306,6.62169280495853,14.9980083607703,0.3625,0.619,0.3625
"sparse_p200_k10",50,200,10,0.4,1,"ridge_center","adaptive",0.1,10.9397143212009,19.8913861388666,14.7396448346792,7.40955716689934,0.68926954595488,30.2555668911862,58.0737810249614,0.195,0,1.38065392367506,1.23796489352646,2.02861452588435,12.5301373733678,5.03116394875803,38.9170486803367,0.5135,0.5135,0.5135
"sparse_p200_k10",50,200,10,0.4,2,"ridge_center","adaptive",0.1,26.0072958059238,85.3161616159522,67.5001979622895,3.12870244510353,0.657309645130015,6.30645807279252,44.9272811647161,0.073,0,1.47824609725997,1.45026187623287,1.83297566102376,3.85713902154585,2.76861150201363,7.86870138123386,0.5235,0.5235,0.5235
"sparse_p200_k10",50,200,10,0.4,1,"ridge_center","bi_adaptive",0.2,10.9397143212009,23.9888537484104,18.7098706628326,0.512626761950741,0.187666228377071,1.29305195689986,4.8230075383367,0,0,7.90094408177741,6.08447585594234,16.2431125002171,8.33875327875609,7.10133873339162,13.2747179464749,0.476,0.5405,0.476
"sparse_p200_k10",50,200,10,0.4,2,"ridge_center","bi_adaptive",0.2,26.0072958059238,94.1455629835367,74.9785377170886,1.96760735744932,1.13231990774751,4.8343753553798,10.0741559294992,0.012,0,6.61074995681948,5.13197623105138,12.4845513814004,13.602733704853,13.5541826316899,23.9433167360099,0.483,0.5325,0.483
"mixed_p200_k40",50,200,40,0.8,1,"hs_center","adaptive",0.1,108.204248462442,282.932953044666,218.976593648708,0.301819101951808,0.21505701249733,0.754304031747613,1.50349392063287,0,0,0.461911254012955,0.459116687490647,0.484204424575179,0.497562402386044,0.504650313243563,0.617406162025612,0.5545,0.5545,0.5545
