"case","n","p","k","rho","seed","prior","proposal_type","mh_step_b","true_sigmaSq","sse_total","sse_signal","phi_mean","phi_median","phi_q90","phi_q99","phi_gt_10","phi_gt_100","a_mean","a_median","a_q90","b_mean","b_median","b_q90","accept_a","accept_b","accept_phi"
"mixed_p200_k40",50,200,40,0.4,1,"normal_gamma_center","bi_adaptive",0.1,112.352724794109,189.771933580831,153.029270104048,7.57883335331901,5.99643877214006,14.4261933814944,32.2529308520835,0.29125,0,0.655428824208468,0.622971286414759,0.923776227259083,2.86061443062042,2.78170397996872,4.63855426455231,0.33625,0.74875,0.33625
"mixed_p200_k40",50,200,40,0.4,2,"normal_gamma_center","bi_adaptive",0.1,117.15082703116,327.068882880646,241.843300759701,19.5910911940757,16.9171990286198,33.560688557732,64.6850735628694,0.78625,0,1.12723521466459,1.06826213217602,1.72044453092588,7.8444464963693,7.73770684858889,11.4117802148983,0.36375,0.72125,0.36375
"mixed_p200_k40",50,200,40,0.4,1,"normal_gamma_center","bi_adaptive",0.2,112.352724794109,213.788302743973,182.650740043929,7.60124554360849,3.05710803596998,16.8079462895082,68.5598489649858,0.20875,0.005,1.43382114849805,1.48168622543711,2.09328402205087,3.86253227902485,2.98187401320931,7.23937996448967,0.4375,0.55625,0.4375
"mixed_p200_k40",50,200,40,0.4,2,"normal_gamma_center","bi_adaptive",0.2,117.15082703116,319.135788851215,280.066699196041,5.4357573399259,4.36845355405295,12.0054797125052,19.4802781690285,0.14,0,0.832709808028915,0.748599658288775,1.38374594001327,3.54634785538171,2.8362839999116,6.05766702620681,0.35375,0.611875,0.35375
"mixed_p200_k40",50,200,40,0.4,1,"normal_gamma_center","bi_adaptive",0.3,112.352724794109,255.575110203034,245.693979843802,10.4626546380522,0.457954589527457,34.4425656177185,56.6023986674881,0.295,0,0.515450939974338,0.505849110404311,0.700883422492942,9.05276837176914,9.88529613191585,13.66060904495,0.281875,0.47375,0.281875
"mixed_p200_k40",50,200,40,0.4,2,"normal_gamma_center","bi_adaptive",0.3,117.15082703116,313.722482005784,285.578833211396,3.75425247492561,1.23604304383576,7.86538007201608,33.565461885268,0.08875,0,0.487850540422687,0.455805277227466,0.682778812075203,1.66051495677102,1.38809977841061,2.76910862919329,0.414375,0.428125,0.414375
