"case","rho","prior","proposal_type","mh_step_b","sse_total","sse_signal","phi_mean","phi_median","phi_q90","phi_q99","phi_gt_10","phi_gt_100","a_mean","a_median","a_q90","b_mean","b_median","b_q90","accept_a","accept_b","accept_phi"
"dense_p100_k50",0.4,"hs_center","adaptive",0.1,360.474234848842,266.866083928084,4.13107097086894,2.94309891311713,9.21161980074699,20.7814806133993,0.074,0,1.04414020226273,0.950735793768914,1.59344428586045,1.13959228016846,1.08662325243047,1.62622988204321,0.516,0.516,0.516
"mixed_p200_k40",0.4,"hs_center","adaptive",0.1,270.602972609126,209.960714580575,9.91924091734801,8.26059926842642,22.4952060774145,38.1086480407532,0.3135,0.0015,0.36028045136038,0.309035882828748,0.562190140807663,1.20109112858834,1.22843699614091,1.64463005727644,0.54575,0.54575,0.54575
"sparse_p200_k10",0.4,"hs_center","adaptive",0.1,42.4395716215892,32.5538180707674,0.822116730825117,0.403011326903693,2.18674674392902,6.19713034173616,0.0075,0,0.38339585561125,0.329546164741462,0.613670185629578,1.61944311244989,1.53195274884781,2.77311726227067,0.53925,0.53925,0.53925
"dense_p100_k50",0.8,"hs_center","adaptive",0.1,520.863669425811,344.437997309362,4.99245256504575,3.08390978714445,10.5284521434621,25.7444016015487,0.131,0,0.914566176965451,0.796863429715394,1.49753966067716,1.19686495232893,1.12579394118288,1.73242217189812,0.5385,0.5385,0.5385
"mixed_p200_k40",0.8,"hs_center","adaptive",0.1,324.431949333432,243.296102080534,4.76917658528254,1.48614677312152,11.1332152042328,50.0383165935286,0.1235,0.005,0.383889283360667,0.382667925596163,0.417500605408082,0.86909881974763,0.781557672738899,1.39613450850313,0.555,0.555,0.555
"sparse_p200_k10",0.8,"hs_center","adaptive",0.1,70.4726039442625,42.4435232974223,0.567740658818388,0.280023894379076,1.36492399921938,4.36832032566202,0,0,0.5241708171368,0.518065664778608,0.659295392108189,1.30322548782404,1.11531066614609,2.25787581836874,0.53675,0.53675,0.53675
"dense_p100_k50",0.4,"normal_gamma_center","adaptive",0.1,370.227203138852,272.546605059393,36.6065634995919,12.2745145692461,87.6629229511936,348.562433144891,0.554,0.0785,1.21365421578571,1.15776239489823,1.78913693306395,4.87595899632314,3.33551469079091,10.3803558411052,0.58675,0.58675,0.58675
"mixed_p200_k40",0.4,"normal_gamma_center","adaptive",0.1,261.14852759059,217.130654500247,162.29163664596,20.5903750156042,514.21928938117,929.413876742086,0.4995,0.244,0.651665304087983,0.648193542228551,0.764620902602183,9.70201772138101,5.3020732766742,23.4613538873391,0.46325,0.46325,0.46325
"sparse_p200_k10",0.4,"normal_gamma_center","adaptive",0.1,52.8013669201944,39.6525168910394,14.3929580703951,1.65898631947203,48.9541271236442,247.134317119943,0.2315,0.0175,0.884651338130849,0.869698678649898,1.22732834450101,10.62099793159,3.93722550675494,31.9014478421989,0.5085,0.5085,0.5085
"dense_p100_k50",0.8,"normal_gamma_center","adaptive",0.1,405.150119921904,293.496995630141,99.8678703535781,8.6596043120203,238.321967813861,2491.20779354578,0.4785,0.132,1.24820368075254,1.10704596328024,2.02668989299335,5.79205117799163,3.08677446064585,15.3437476405809,0.59675,0.59675,0.59675
"mixed_p200_k40",0.8,"normal_gamma_center","adaptive",0.1,290.925551002338,217.433640571873,192.572494508764,10.978279209474,622.364752219135,2075.1390247182,0.5105,0.2425,0.85066826837676,0.821781769298448,1.29679429465989,7.85321599706625,3.90519710368398,22.4159450047871,0.51,0.51,0.51
"sparse_p200_k10",0.8,"normal_gamma_center","adaptive",0.1,73.7622012274272,46.7322689940052,4.93924247307907,1.74376097705991,12.9292645256081,50.0117491545104,0.127,0.004,0.351512851811401,0.348724484320798,0.402196991846701,2.50799423563183,2.13847847239429,4.64021153977001,0.56375,0.56375,0.56375
"dense_p100_k50",0.4,"ridge_center","adaptive",0.1,364.587555280313,251.117118100289,7.4027446827268,3.55690330933102,15.7793512236155,75.9388185486016,0.1795,0.0055,7.12428165502511,6.56387225916976,12.238323421842,5.66322520844386,4.76548661930041,9.95377254587757,0.53925,0.53925,0.53925
"mixed_p200_k40",0.4,"ridge_center","adaptive",0.1,269.358123678704,207.052716243587,92.7496441080123,1.95651098771625,188.647916613322,1693.25354726725,0.2035,0.074,3.5175445319571,3.12171701470649,6.01083504303854,5.47605753078337,3.10462730328706,15.0545043960719,0.483,0.483,0.483
