"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","screening_method","alpha","beta","selection_score"
"dense",20,0.8,11.65,7,17,"hs:4;normal_gamma:12;ridge:4","strong_dense200_uniform","ridge5",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.8,9.4,5,15,"hs:16;normal_gamma:4","strong_sparse_uniform","ridge",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.75,9.4,5,15,"hs:15;normal_gamma:3;ridge:2","strong_sparse_uniform","ridge20",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.75,9.4,5,15,"hs:15;normal_gamma:4;ridge:1","strong_sparse_uniform","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.7,11.65,7,17,"hs:6;normal_gamma:9;ridge:5","strong_dense200_uniform","ridge",0.06,"p","olasso",0.5,0.5,"beta_prior"
"dense",20,0.65,11.65,7,17,"hs:7;normal_gamma:5;ridge:8","strong_dense200_uniform","ridge",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.65,11.65,7,17,"hs:7;normal_gamma:3;ridge:10","strong_dense200_uniform","ridge20",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.65,11.65,7,17,"hs:7;normal_gamma:8;ridge:5","strong_dense200_uniform","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.6,9.4,5,15,"hs:12;normal_gamma:5;ridge:3","strong_sparse_uniform","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.55,9.4,5,15,"hs:11;normal_gamma:5;ridge:4","strong_sparse_uniform","ridge",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.5,9.4,5,15,"hs:10;normal_gamma:5;ridge:5","strong_sparse_uniform","ridge20",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.5,9.4,5,15,"hs:10;normal_gamma:7;ridge:3","strong_sparse_uniform","ridge5",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.45,9.4,5,15,"hs:9;normal_gamma:5;ridge:6","strong_sparse_uniform","ridge",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.45,9.4,5,15,"hs:9;normal_gamma:6;ridge:5","strong_sparse_uniform","ridge20",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.4,11.65,7,17,"hs:12;normal_gamma:3;ridge:5","strong_dense200_uniform","ridge",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.4,11.65,7,17,"hs:12;normal_gamma:1;ridge:7","strong_dense200_uniform","ridge20",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.3,11.65,7,17,"hs:14;normal_gamma:5;ridge:1","strong_dense200_uniform","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.3,9.4,5,15,"hs:6;normal_gamma:12;ridge:2","strong_sparse_uniform","ridge5",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.25,9.4,5,15,"hs:5;normal_gamma:9;ridge:6","strong_sparse_uniform","ridge",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.25,9.4,5,15,"hs:5;normal_gamma:13;ridge:2","strong_sparse_uniform","ridge5",0.03,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.25,9.4,5,15,"hs:5;normal_gamma:13;ridge:2","strong_sparse_uniform","ridge5",0.04,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.25,9.4,5,15,"hs:5;normal_gamma:13;ridge:2","strong_sparse_uniform","ridge5",0.05,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.2,9.4,5,15,"hs:4;normal_gamma:10;ridge:6","strong_sparse_uniform","ridge",0.05,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.2,9.4,5,15,"hs:4;normal_gamma:8;ridge:8","strong_sparse_uniform","ridge20",0.03,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.2,9.4,5,15,"hs:4;normal_gamma:10;ridge:6","strong_sparse_uniform","ridge20",0.04,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.2,9.4,5,15,"hs:4;normal_gamma:10;ridge:6","strong_sparse_uniform","ridge20",0.05,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.2,9.4,5,15,"hs:4;normal_gamma:10;ridge:6","strong_sparse_uniform","ridge20",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.15,9.4,5,15,"hs:3;normal_gamma:11;ridge:6","strong_sparse_uniform","ridge",0.03,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.15,9.4,5,15,"hs:3;normal_gamma:11;ridge:6","strong_sparse_uniform","ridge",0.04,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.15,9.4,5,15,"hs:3;normal_gamma:10;ridge:7","strong_sparse_uniform","ridge20",0.03,"p","olasso",0.5,0.5,"beta_prior"
"sparse",20,0.1,9.4,5,15,"hs:2;normal_gamma:6;ridge:12","strong_sparse_uniform","ridge",0.03,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.1,9.4,5,15,"hs:2;normal_gamma:12;ridge:6","strong_sparse_uniform","ridge5",0.03,"p","olasso",0.5,0.5,"data_likelihood"
