"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","alpha","beta","selection_score"
"dense",5,0.2,10.4,8,13,"hs:4;normal_gamma:1","dense_50_200_60_strong","student_t",0.1,0.5,0.5,"beta_prior"
"dense",5,0.2,10.4,8,13,"hs:4;normal_gamma:1","dense_50_200_60_strong","student_t",0.1,0.5,0.5,"joint"
"dense",5,0.2,10.4,8,13,"hs:4;normal_gamma:1","dense_50_200_60_strong","student_t",0.125,0.5,0.5,"beta_prior"
"dense",5,0.2,10.4,8,13,"hs:4;normal_gamma:1","dense_50_200_60_strong","student_t",0.125,0.5,0.5,"joint"
"dense",5,0.2,10.4,8,13,"hs:4;normal_gamma:1","dense_50_200_60_strong","student_t",0.15,0.5,0.5,"beta_prior"
"dense",5,0.2,10.4,8,13,"hs:4;normal_gamma:1","dense_50_200_60_strong","student_t",0.15,0.5,0.5,"joint"
"dense",5,0,10.4,8,13,"normal_gamma_sparse:5","dense_50_200_60_strong","four_way",0.1,0.5,0.5,"beta_prior"
"dense",5,0,10.4,8,13,"normal_gamma_sparse:5","dense_50_200_60_strong","four_way",0.1,0.5,0.5,"joint"
"dense",5,0,10.4,8,13,"normal_gamma_sparse:5","dense_50_200_60_strong","four_way",0.125,0.5,0.5,"beta_prior"
"dense",5,0,10.4,8,13,"normal_gamma_sparse:5","dense_50_200_60_strong","four_way",0.125,0.5,0.5,"joint"
"dense",5,0,10.4,8,13,"normal_gamma_sparse:5","dense_50_200_60_strong","four_way",0.15,0.5,0.5,"beta_prior"
"dense",5,0,10.4,8,13,"normal_gamma_sparse:5","dense_50_200_60_strong","four_way",0.15,0.5,0.5,"joint"
"dense",5,0,14.8,11,17,"normal_gamma_sparse:5","dense_50_200_60_weak","four_way",0.1,0.5,0.5,"beta_prior"
"dense",5,0,14.8,11,17,"normal_gamma_sparse:5","dense_50_200_60_weak","four_way",0.1,0.5,0.5,"joint"
"dense",5,0,14.8,11,17,"normal_gamma_sparse:5","dense_50_200_60_weak","four_way",0.125,0.5,0.5,"beta_prior"
"dense",5,0,14.8,11,17,"normal_gamma_sparse:5","dense_50_200_60_weak","four_way",0.125,0.5,0.5,"joint"
"dense",5,0,14.8,11,17,"normal_gamma_sparse:5","dense_50_200_60_weak","four_way",0.15,0.5,0.5,"beta_prior"
"dense",5,0,14.8,11,17,"normal_gamma_sparse:5","dense_50_200_60_weak","four_way",0.15,0.5,0.5,"joint"
