"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","screening_method","alpha","beta","selection_score"
"dense",10,0.7,11,8,13,"hs:3;normal_gamma:4;ridge:3","dense_50_200_60_strong","ridge5",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.3,10.3,8,13,"hs:3;normal_gamma:4;ridge:3","sparse_50_200_10_strong","ridge5",0.04,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.3,10.3,8,13,"hs:3;normal_gamma:4;ridge:3","sparse_50_200_10_strong","ridge5",0.05,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.3,10.3,8,13,"hs:3;normal_gamma:4;ridge:3","sparse_50_200_10_strong","ridge5",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.3,9.9,5,13,"hs:3;normal_gamma:5;ridge:2","sparse_50_200_10_weak","ridge5",0.04,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.3,9.9,5,13,"hs:3;normal_gamma:5;ridge:2","sparse_50_200_10_weak","ridge5",0.05,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.3,9.9,5,13,"hs:3;normal_gamma:5;ridge:2","sparse_50_200_10_weak","ridge5",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.2,9.9,5,13,"hs:2;normal_gamma:4;ridge:4","sparse_50_200_10_weak","ridge",0.04,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.2,9.9,5,13,"hs:2;normal_gamma:4;ridge:4","sparse_50_200_10_weak","ridge",0.05,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.2,9.9,5,13,"hs:2;normal_gamma:4;ridge:4","sparse_50_200_10_weak","ridge",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.1,10.3,8,13,"hs:1;normal_gamma:5;ridge:4","sparse_50_200_10_strong","ridge",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.1,10.3,8,13,"hs:1;normal_gamma:4;ridge:4;student_t:1","sparse_50_200_10_strong","ridge_student_t",0.05,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.1,10.3,8,13,"hs:1;normal_gamma:4;ridge:4;student_t:1","sparse_50_200_10_strong","ridge_student_t",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.1,10.3,8,13,"hs:1;normal_gamma:9","sparse_50_200_10_strong","ridge20",0.04,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.1,10.3,8,13,"hs:1;normal_gamma:9","sparse_50_200_10_strong","ridge20",0.05,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.1,10.3,8,13,"hs:1;normal_gamma:9","sparse_50_200_10_strong","ridge20",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.1,9.9,5,13,"hs:1;normal_gamma:7;student_t:2","sparse_50_200_10_weak","ridge_student_t",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.1,9.9,5,13,"hs:1;normal_gamma:6;ridge:3","sparse_50_200_10_weak","ridge20",0.05,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0.1,9.9,5,13,"hs:1;normal_gamma:6;ridge:3","sparse_50_200_10_weak","ridge20",0.06,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0,10.3,8,13,"normal_gamma:6;ridge:4","sparse_50_200_10_strong","ridge",0.04,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0,10.3,8,13,"normal_gamma:6;ridge:4","sparse_50_200_10_strong","ridge",0.05,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0,10.3,8,13,"normal_gamma:4;ridge:5;student_t:1","sparse_50_200_10_strong","ridge_student_t",0.04,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0,9.9,5,13,"normal_gamma:8;student_t:2","sparse_50_200_10_weak","ridge_student_t",0.04,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0,9.9,5,13,"normal_gamma:8;student_t:2","sparse_50_200_10_weak","ridge_student_t",0.05,"p","olasso",0.5,0.5,"beta_prior"
"sparse",10,0,9.9,5,13,"normal_gamma:7;ridge:3","sparse_50_200_10_weak","ridge20",0.04,"p","olasso",0.5,0.5,"beta_prior"
